person,age,country,education,gender,FK_9,FK_10,FK_11,FK_12,sus_1,sus_2,sus_3,sus_4,session_id,Height,Weight,RecipeWebUsage,HomeCook,CookingExp,EatingGoals,Depression,PhysicalActivity,SleepHours,CookingTime,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,under_1,under_2,under_3,condition,n_condition,use_1,use_2,llm_hashtag,llm_explanation
1003,b25_35,GB,BA,Male,4,4,4,2,5,4,4,3,62a62e9de4093c6fd9dd43f0,172,70,Daily,Daily,High,Lose Weight,Somewhat,Average (=6h),7-9h,30-60min,5569,Luscious Chicken Pot Pie,A,10,unhealthy,4,4,4,4,4,3,4,2,1,4,2,3,4,4,noLabel,0,,,,
1006,b35_45,GB,High_school,Female,4,4,4,2,5,2,4,2,5e130b3f54e2f09436f73393,1778,80,Weekly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,5,4,5,3,4,2,4,1,1,4,1,4,2,1,noLabel,0,,,,
1008,b25_35,GB,MSc,Male,5,4,4,1,4,3,5,5,651f3a4f8b1f6b41f425e8f2,172,55,Monthly,Monthly,Low,Gain Weight,Somewhat,Average (=6h),≤7h,≤30min,3003,Slow-Cooked White Chili,A,6,healthy,2,2,3,5,3,2,4,2,1,4,2,2,4,2,noLabel,0,,,,
1011,b25_35,GB,BA,Female,3,4,3,2,4,3,4,4,6658c035eacd7bcadeef89ea,166,105,Weekly,Daily,High,Lose Weight,Not at all,Not enough (<3h),7-9h,≥60min,2746,Hearty Hamburger Soup,A,5,healthy,3,3,2,4,2,3,2,2,2,4,2,2,2,2,noLabel,0,,,,
1009,b25_35,GB,BA,Male,5,5,5,1,3,3,1,1,64526be1abfd84e77ccaeb63,175,70,Monthly,Weekly,Medium,No Goal,Not at all,Average (=6h),≤7h,30-60min,3735,Hawaiian Chicken II,C,10,unhealthy,5,3,4,4,4,2,4,1,1,5,1,4,4,4,noLabel,0,,,,
1012,b35_45,GB,MSc,Female,4,4,4,2,4,3,3,4,5964a054b9153e000161710d,122,173,Monthly,Daily,Medium,No Goal,Not at all,Average (=6h),7-9h,30-60min,3649,Enchilada Casserole,B,10,unhealthy,3,3,4,4,3,2,4,3,2,4,3,4,4,3,noLabel,0,,,,
1010,b35_45,GB,Doctorate,Male,3,4,4,3,4,4,4,5,666f0633ccab5a7364baf7c5,183,110,Monthly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,5,5,5,3,5,1,5,1,1,5,1,5,4,2,noLabel,0,,,,
1015,b35_45,GB,MSc,Female,4,4,4,2,4,3,3,5,5877f454127d7700018b1bdf,170,114,Weekly,Weekly,Low,Lose Weight,Somewhat,Not enough (<3h),7-9h,≤30min,2483,House Fried Rice,B,6,healthy,4,4,4,2,4,3,4,2,2,4,2,3,2,2,noLabel,0,,,,
1013,b18_24,GB,MSc,Male,4,4,4,2,4,3,4,5,66a24d01cdcb14bc874d3ee9,195,89,Weekly,Daily,High,No Goal,Not at all,A lot (>9h),7-9h,30-60min,5569,Luscious Chicken Pot Pie,A,10,unhealthy,4,3,4,4,2,4,3,2,2,4,2,2,3,2,noLabel,0,,,,
1023,b25_35,GB,BA,Female,4,5,4,1,4,3,5,4,5de54842a7cb240cb3c34933,164,55,Monthly,Daily,High,Lose Weight,Not at all,Average (=6h),7-9h,≥60min,446,Brazilian Black Bean Stew,A,6,healthy,3,2,1,4,3,4,1,1,2,3,2,3,5,3,noLabel,0,,,,
1018,b25_35,GB,BA,Male,3,2,2,5,3,3,4,4,6581c0d833f32d42d1790ee1,6,87,Monthly,Monthly,Low,No Goal,Quite a lot,Not enough (<3h),≤7h,30-60min,482,Chicken Chili Soup,A,5,healthy,4,5,5,3,4,2,5,1,2,4,2,5,4,4,noLabel,0,,,,
1021,b35_45,GB,BA,Female,4,4,4,2,3,3,4,5,5de7ad0ca1a3fb7217ec3365,165,210,Monthly,Daily,Medium,Lose Weight,Not at all,Not enough (<3h),7-9h,≤30min,2483,House Fried Rice,B,6,healthy,4,4,4,4,3,2,4,1,1,4,3,4,4,3,noLabel,0,,,,
1019,b25_35,GB,High_school,Female,3,4,3,2,4,3,2,3,5ccd9718b6494d0001dee261,163,54,Monthly,Weekly,Medium,No Goal,Not at all,A lot (>9h),≤7h,30-60min,3489,Flank Steak with Avocado Salsa,A,10,unhealthy,4,4,4,5,3,2,4,2,2,4,2,4,3,4,noLabel,0,,,,
